Gene ID	Name	Organ	Cell type
AT5G57800	FLP1,FACELESS POLLEN 1,WAX2,YRE	Flower	Abaxial Epidermis
AT3G09730	POLAR LOCALIZATION DURING ASYMMETRIC DIVISION AND protein	Flower	Adaxial Epidermis
AT3G09730	POLAR LOCALIZATION DURING ASYMMETRIC DIVISION AND protein	Flower	GC 
AT3G01500	ATBCA1,BETA CARBONIC ANHYDRASE 1,ATSABP3,ARABIDOPSIS THALIANA SALICYLIC ACID-BINDING PROTEIN 3,SABP3,SALICYLIC ACID-BINDING PROTEIN 3	Flower	Epidermis
AT5G60490	AtFLA12	Flower	Xylem
AT1G04040 	AT1G04040 	Leaf	Epidermis
AT5G28630	AT5G28630	Leaf	Epidermis
AT5G44430	PDF1.2c 	Leaf	Abaxial Epidermis
AT1G22690	AT1G22690	Leaf	GC
AT1G62510	AT1G62510	Leaf	Hydrathode
AT3G16660	AT3G16660	Leaf	Hydrathode
AT3G16670	AT3G16670	Leaf	Hydrathode
AT1G21250	WAK1	Leaf	Growing leaves
AT2G26250	FDH	NA	Epidermis
AT2G30424	TCL2	NA	Epidermis
AT4G21750	ATML1	NA	Epidermis
AT4G14480	BLUS1	NA	GC
AT5G26000	GC, MI	NA	GC
AT1G22150	SULTR1;3	NA	Phloem
AT3G19710	BCAT4	NA	Phloem
AT5G09220	AAP2	NA	Phloem
AT5G23010	MAM1	NA	Phloem
AT5G50160	FRO8	NA	Phloem
AT5G59780	MYB59	NA	Stem Vasculature
AT1G79840	GL2	NA	Trichome development
AT5G40330	MYB23	NA	Trichome development
AT4G38740	Cyclophilin ROC1	NA	Vasculature
AT5G02380	MET2B	NA	Vasculature
AT5G02600	NaKR1	NA	Vasculature
AT5G15950	SAMDC2	NA	Vasculature
AT1G67560	LOX6	NA	Xylem
AT4G35350	XCP1	NA	Xylem
AT1G01320	Tetratricopeptide repeat (TPR)-like superfamily protein	NA	Sepals, young flower.
AT1G13930	oleosin-B3-like protein	NA	Sepals
AT1G23510	OBP32pep protein	NA	Petal, mature flowers
AT1G24260	AGL9,AGAMOUS-like 9	NA	Pollen tube growth
AT1G28270	AtRALF4	NA	Pollen tube growth
AT1G29910	AB180,LHCB1.2,LIGHT HARVESTING CHLOROPHYLL A/B BINDING PROTEIN 1.2	NA	Mesophyll
AT1G52510	alpha/beta-Hydrolases superfamily protein	NA	Sepals, young and mature
AT1G54270	eif4a-2	NA	Is not petal
AT1G55670	photosystem I subunit G	NA	Mesophyll
AT1G55670	photosystem I subunit G	NA	Mesophyll
AT1G62020	Coatomer, alpha subunit	NA	Stamen mature flower
AT1G69870	AtNPF2.13,NPF2.13,NRT1/ PTR family 2.13	NA	Mesophyll
AT1G69870	AtNPF2.13,NPF2.13,NRT1/ PTR family 2.13	NA	Mesophyll
AT1G75920	GDSL-like Lipase/Acylhydrolase superfamily protein	NA	Young Flower
AT2G06520	photosystem II subunit X	NA	Mesophyll
AT2G16940	Splicing factor, CC1-like protein	NA	Carpel
AT2G17033	pentatricopeptide (PPR) repeat-containing protein	NA	Sepal young flowers
AT2G21870	MALE GAMETOPHYTE DEFECTIVE 1	NA	Stamen, fillament
AT2G42840	protodermal factor 1	NA	Trichome
AT2G42840	protodermal factor 1	NA	Protoderm
AT2G45660	ATSOC1,SUPPRESSOR OF OVEREXPRESSION OF CO 1,SOC1,SUPPRESSOR OF OVEREXPRESSION OF CO 1	NA	Stamen
AT2G45660	ATSOC1,SUPPRESSOR OF OVEREXPRESSION OF CO 1,SOC1,SUPPRESSOR OF OVEREXPRESSION OF CO 1	NA	Carpel
AT2G47260	ATWRKY23,WRKY DNA-BINDING PROTEIN 23	NA	MI
AT4G24450	ATGWD2,GWD3	NA	Vasculature
AT4G38740	rotamase CYP 1	NA	Phloem
AT5G02380	metallothionein 2B	NA	Phloem
AT5G04480	BUP,Bursting pollen	NA	Pollen tube development
AT5G15950	Adenosylmethionine decarboxylase family protein	NA	Vasculatore
AT5G16560	KAN1,KANADI 1	NA	Mesophyll
AT5G25980	BGLU37,BETA GLUCOSIDASE 37	NA	MI
AT5G48620	Disease resistance protein (CC-NBS-LRR class) family	NA	Sepal
AT5G57350	AHA3,H(+)-ATPase 3,ATAHA3,ARABIDOPSIS THALIANA ARABIDOPSIS H(+)-ATPASE	NA	Phloem
AT5G65590	SCAP1,STOMATAL CARPENTER 1	NA	Petals
AT1G23420	INO	NA	Ovule
AT5G60490	FLA12	NA	Xylem
AT4G32880	ATHB-8	NA	Xylem
AT5G19530	ACL5	NA	Xylem
AT3G25710	TMO5	NA	Xylem
AT5G02600	NAKR1	NA	Phloem Parenchyma and Companion cells
AT5G02380	MT2B	NA	Phloem Parenchyma and Companion cells
AT4G38740	CYP18-3	NA	Phloem Parenchyma and Companion cells
AT3G48740	SWEET11	NA	Phloem Parenchyma
AT5G23660	SWEET12	NA	Phloem Parenchyma and Companion cells
AT1G22710	SUC2	NA	Companion cells
AT1G79430	APL	NA	Companion cells
AT4G13770	CYP83-A1	NA	Phloem Parenchyma and Companion cells
AT1G52190	NPF1.2	NA	Companion cells
AT5G54660	HSP21.7	NA	Phloem Parenchyma and Companion cells
AT5G57350	AHA3	NA	Phloem Parenchyma and Companion cells
AT3G25710	TMO5	NA	Procambium
AT5G61480	PXY	NA	Procambium
AT2G37640	EXPA3	NA	Epidermis
AT3G29030	EXPA5	NA	Epidermis
AT2G32990	AtGH9B8	NA	Epidermis
AT1G80080	TMM	NA	Epidermis
AT2G42840	PDF1	NA	Epidermis
AT1G68530	CUT1	NA	Epidermis
AT1G51500	CER5	NA	Epidermis
AT1G27950	LPTG1	NA	Epidermis
AT5G49160	DMT1	NA	Epidermis
AT4G27230	HTA2	NA	Epidermis
AT1G08880	HTA5	NA	Epidermis
AT5G59870	HTA6	NA	Epidermis
AT1G51060	HTA10	NA	Epidermis
AT3G20670	HTA13	NA	Epidermis
AT3G17360	POK1	NA	Epidermis
AT3G19050	POK2	NA	Epidermis
AT4G23800	HMGB6	NA	Epidermis
AT4G33270	CDC20-1	NA	Epidermis
AT4G33260	CDC20-2	NA	Epidermis
AT5G54585	AT5G54585	NA	Epidermis
AT1G04040	AT1G04040	NA	Epidermis
AT5G28630	AT5G28630	NA	Epidermis
AT2G26580	YAB5	NA	Abaxial Epidermis
AT4G21910	AT4G21910	NA	Abaxial Epidermis
AT4G00180	YAB3	NA	Abaxial Epidermis
AT5G13930	CHS	NA	Adaxial Epidermis
AT1G18810	AT1G18810	NA	Adaxial Epidermis
AT5G62210	AT5G62210	NA	Adaxial Epidermis
AT1G04250	AXR3	NA	Adaxial Epidermis
AT5G53210	SPCH	NA	Stomatal lineage
AT3G06120	MUTE	NA	Stomatal lineage
AT3G24140	FAMA	NA	Stomatal lineage
AT1G80080	TMM	NA	Stomatal lineage
AT1G34245	EPF2	NA	Stomatal lineage
AT1G68530	CER6	NA	GC
AT1G12480	SLAC1	NA	GC
AT4G37490	CYCB1	NA	Dividing
AT1G18370	H2B	NA	Dividing
AT5G54640	HTA1	NA	Dividing
AT1G18370	NACK1	NA	Dividing
AT1G07370	PCNA1	NA	Dividing
AT2G29570	PCNA2	NA	Dividing
AT1G77990	SULTR2;2	NA	Bundle Sheath
AT2G43150	AT2G43150	NA	Bundle Sheath
AT1G12010	AT1G12010	NA	Bundle Sheath
AT5G05690	CYP90A1	NA	Palisade mesophyll
AT1G70410	BCA4	NA	Palisade mesophyll
AT4G23060	IQD22	NA	Palisade mesophyll
AT5G17170	ENH1	NA	Mesophyll
AT4G23600	CORI3	NA	Spongy mesophyll
AT1G29910	CAB3	NA	Mesophyll
AT2G05100	LHCB2.1	NA	Mesophyll
AT2G27250	CLV3	NA	SAM CZ
AT2G17950	WUS	NA	SAM RM
AT3G17360	POK1	NA	Dividing
AT3G19050	POK2	NA	Dividing
AT5G23420	HMGB6	NA	Dividing
AT4G33270	CDC20.1	NA	Dividing
AT4G33260	CDC20.2	NA	Dividing
AT4G27230	HISTONE 	NA	Dividing
AT5G49160	MET1	NA	Dividing
AT3G15353	AT3G15353	NA	Seed coat
AT5G02380	AT5G02380	NA	Seed coat
AT1G21310	AT1G21310	NA	Seed coat
AT5G25980	TGG2	NA	MI
AT3G01670	SEOR2	NA	Sieve element
AT3G01680	SEOR1	NA	Sieve element
AT1G05760	RTM1	NA	Sieve element
AT5G04890	RTM2	NA	Sieve element
AT1G20850	XCP2	NA	Xylem
AT5G62380	VND6	NA	Xylem
AT2G01540	CAR10	Root	Trichoblast
AT1G23750	AT1G23750	Root	Trichoblast
AT1G05810	ARA	Root	Trichoblast
AT5G40860	AT5G40860	Root	Trichoblast
AT3G07880	GDI1	Root	Trichoblast
AT5G40510	AT5G40510	Root	Trichoblast
AT1G73580	CAR3	Root	Trichoblast
AT4G24026	AT4G24026	Root	Trichoblast
AT5G58010	BHLH82	Root	Trichoblast
AT1G70460	PERK13	Root	Trichoblast
AT3G60330	AHA7	Root	Trichoblast
AT1G48930	AtGH9C1	Root	Trichoblast
AT4G01480	PPA5	Root	Trichoblast
AT2G47530	AT2G47530	Root	Trichoblast
AT4G34580	SFH1	Root	Trichoblast
AT1G12560	EXPA7	Root	Trichoblast
AT1G06923	AT1G06923	Root	Trichoblast
AT3G09925	AT3G09925	Root	Trichoblast
AT3G54590	EXT2	Root	Trichoblast
AT1G30870	PER7	Root	Trichoblast
AT5G05500	AT5G05500	Root	Trichoblast
AT3G54580	AT3G54580	Root	Trichoblast
AT2G47540	AT2G47540	Root	Trichoblast
AT4G00680	ADF8	Root	Trichoblast
